"location_name","location","indicator","year_week","value","source"
"Austria","AT","cases","2020-01",0,"TESSy COVID-19"
"Austria","AT","cases","2020-02",0,"TESSy COVID-19"
"Austria","AT","cases","2020-03",0,"TESSy COVID-19"
"Austria","AT","cases","2020-04",0,"TESSy COVID-19"
"Austria","AT","cases","2020-05",0,"TESSy COVID-19"
"Austria","AT","cases","2020-06",0,"TESSy COVID-19"
"Austria","AT","cases","2020-07",0,"TESSy COVID-19"
"Austria","AT","cases","2020-08",0,"TESSy COVID-19"
"Austria","AT","cases","2020-09",12,"TESSy COVID-19"
"Austria","AT","cases","2020-10",114,"TESSy COVID-19"
"Austria","AT","cases","2020-11",874,"TESSy COVID-19"
"Austria","AT","cases","2020-12",3068,"TESSy COVID-19"
"Austria","AT","cases","2020-13",5128,"TESSy COVID-19"
"Austria","AT","cases","2020-14",3116,"TESSy COVID-19"
"Austria","AT","cases","2020-15",1838,"TESSy COVID-19"
"Austria","AT","cases","2020-16",684,"TESSy COVID-19"
"Austria","AT","cases","2020-17",448,"TESSy COVID-19"
"Austria","AT","cases","2020-18",312,"TESSy COVID-19"
"Austria","AT","cases","2020-19",264,"TESSy COVID-19"
"Austria","AT","cases","2020-20",335,"TESSy COVID-19"
"Austria","AT","cases","2020-21",265,"TESSy COVID-19"
"Austria","AT","cases","2020-22",195,"TESSy COVID-19"
"Austria","AT","cases","2020-23",227,"TESSy COVID-19"
"Austria","AT","cases","2020-24",172,"TESSy COVID-19"
"Austria","AT","cases","2020-25",248,"TESSy COVID-19"
"Austria","AT","cases","2020-26",335,"TESSy COVID-19"
"Austria","AT","cases","2020-27",640,"TESSy COVID-19"
"Austria","AT","cases","2020-28",596,"TESSy COVID-19"
"Austria","AT","cases","2020-29",784,"TESSy COVID-19"
"Austria","AT","cases","2020-30",872,"TESSy COVID-19"
"Austria","AT","cases","2020-31",794,"TESSy COVID-19"
"Austria","AT","cases","2020-32",722,"TESSy COVID-19"
"Austria","AT","cases","2020-33",1462,"TESSy COVID-19"
"Austria","AT","cases","2020-34",1907,"TESSy COVID-19"
"Austria","AT","cases","2020-35",1941,"TESSy COVID-19"
"Austria","AT","cases","2020-36",2268,"TESSy COVID-19"
"Austria","AT","cases","2020-37",3997,"TESSy COVID-19"
"Austria","AT","cases","2020-38",5211,"TESSy COVID-19"
"Austria","AT","cases","2020-39",4656,"TESSy COVID-19"
"Austria","AT","cases","2020-40",5597,"TESSy COVID-19"
"Austria","AT","cases","2020-41",7486,"TESSy COVID-19"
"Austria","AT","cases","2020-42",9903,"TESSy COVID-19"
"Austria","AT","cases","2020-43",18273,"TESSy COVID-19"
"Austria","AT","cases","2020-44",31613,"TESSy COVID-19"
"Austria","AT","cases","2020-45",44758,"TESSy COVID-19"
"Austria","AT","cases","2020-46",47880,"TESSy COVID-19"
"Austria","AT","cases","2020-47",40742,"TESSy COVID-19"
"Austria","AT","cases","2020-48",31162,"TESSy COVID-19"
"Austria","AT","cases","2020-49",23078,"TESSy COVID-19"
"Austria","AT","cases","2020-50",18701,"TESSy COVID-19"
"Austria","AT","cases","2020-51",14864,"TESSy COVID-19"
"Austria","AT","cases","2020-52",13340,"TESSy COVID-19"
"Austria","AT","cases","2020-53",14894,"TESSy COVID-19"
"Austria","AT","cases","2021-01",14633,"TESSy COVID-19"
"Austria","AT","cases","2021-02",10946,"TESSy COVID-19"
"Austria","AT","cases","2021-03",10165,"TESSy COVID-19"
"Austria","AT","cases","2021-04",9513,"TESSy COVID-19"
"Austria","AT","cases","2021-05",9119,"TESSy COVID-19"
"Austria","AT","cases","2021-06",9457,"TESSy COVID-19"
"Austria","AT","cases","2021-07",11635,"TESSy COVID-19"
"Austria","AT","cases","2021-08",14195,"TESSy COVID-19"
"Austria","AT","cases","2021-09",16324,"TESSy COVID-19"
"Austria","AT","cases","2021-10",18225,"TESSy COVID-19"
"Austria","AT","cases","2021-11",21094,"TESSy COVID-19"
"Austria","AT","cases","2021-12",22326,"TESSy COVID-19"
"Austria","AT","cases","2021-13",20788,"TESSy COVID-19"
"Austria","AT","cases","2021-14",17616,"TESSy COVID-19"
"Austria","AT","cases","2021-15",16822,"TESSy COVID-19"
"Austria","AT","cases","2021-16",15048,"TESSy COVID-19"
"Austria","AT","cases","2021-17",12537,"TESSy COVID-19"
"Austria","AT","cases","2021-18",9021,"TESSy COVID-19"
"Austria","AT","cases","2021-19",5736,"TESSy COVID-19"
"Austria","AT","cases","2021-20",4156,"TESSy COVID-19"
"Austria","AT","cases","2021-21",3160,"TESSy COVID-19"
"Austria","AT","cases","2021-22",2424,"TESSy COVID-19"
"Austria","AT","cases","2021-23",1685,"TESSy COVID-19"
"Austria","AT","cases","2021-24",1002,"TESSy COVID-19"
"Austria","AT","cases","2021-25",679,"TESSy COVID-19"
"Austria","AT","cases","2021-26",633,"TESSy COVID-19"
"Austria","AT","cases","2021-27",1093,"TESSy COVID-19"
"Austria","AT","cases","2021-28",2193,"TESSy COVID-19"
"Austria","AT","cases","2021-29",2533,"TESSy COVID-19"
"Austria","AT","cases","2021-30",3251,"TESSy COVID-19"
"Austria","AT","cases","2021-31",3667,"TESSy COVID-19"
"Austria","AT","cases","2021-32",5901,"TESSy COVID-19"
"Austria","AT","cases","2021-33",8065,"TESSy COVID-19"
"Austria","AT","cases","2021-34",9436,"TESSy COVID-19"
"Austria","AT","cases","2021-35",11306,"TESSy COVID-19"
"Austria","AT","cases","2021-36",14060,"TESSy COVID-19"
"Austria","AT","cases","2021-37",13748,"TESSy COVID-19"
"Austria","AT","cases","2021-38",11763,"TESSy COVID-19"
"Austria","AT","cases","2021-39",12594,"TESSy COVID-19"
"Austria","AT","cases","2021-40",12784,"TESSy COVID-19"
"Austria","AT","cases","2021-41",15360,"TESSy COVID-19"
"Austria","AT","cases","2021-42",23855,"TESSy COVID-19"
"Austria","AT","cases","2021-43",34574,"TESSy COVID-19"
"Austria","AT","cases","2021-44",56501,"TESSy COVID-19"
"Austria","AT","cases","2021-45",78822,"TESSy COVID-19"
"Austria","AT","cases","2021-46",97281,"TESSy COVID-19"
"Austria","AT","cases","2021-47",82683,"TESSy COVID-19"
"Austria","AT","cases","2021-48",50887,"TESSy COVID-19"
"Austria","AT","cases","2021-49",29305,"TESSy COVID-19"
"Austria","AT","cases","2021-50",18860,"TESSy COVID-19"
"Austria","AT","cases","2021-51",14638,"TESSy COVID-19"
"Austria","AT","cases","2021-52",23126,"TESSy COVID-19"
"Austria","AT","cases","2022-01",62443,"TESSy COVID-19"
"Austria","AT","cases","2022-02",111045,"TESSy COVID-19"
"Austria","AT","cases","2022-03",176107,"TESSy COVID-19"
"Austria","AT","cases","2022-04",226989,"TESSy COVID-19"
"Austria","AT","cases","2022-05",231394,"TESSy COVID-19"
"Austria","AT","cases","2022-06",216500,"TESSy COVID-19"
"Austria","AT","cases","2022-07",195946,"TESSy COVID-19"
"Austria","AT","cases","2022-08",185634,"TESSy COVID-19"
"Austria","AT","cases","2022-09",217174,"TESSy COVID-19"
"Austria","AT","cases","2022-10",299437,"TESSy COVID-19"
"Austria","AT","cases","2022-11",316254,"TESSy COVID-19"
"Austria","AT","cases","2022-12",248260,"TESSy COVID-19"
"Austria","AT","cases","2022-13",151741,"TESSy COVID-19"
"Austria","AT","cases","2022-14",96640,"TESSy COVID-19"
"Austria","AT","cases","2022-15",63351,"TESSy COVID-19"
"Austria","AT","cases","2022-16",49043,"TESSy COVID-19"
"Austria","AT","cases","2022-17",40387,"TESSy COVID-19"
"Austria","AT","cases","2022-18",36973,"TESSy COVID-19"
"Austria","AT","cases","2022-19",29760,"TESSy COVID-19"
"Austria","AT","cases","2022-20",20279,"TESSy COVID-19"
"Austria","AT","cases","2022-21",15305,"TESSy COVID-19"
"Austria","AT","cases","2022-22",19526,"TESSy COVID-19"
"Austria","AT","cases","2022-23",25456,"TESSy COVID-19"
"Austria","AT","cases","2022-24",40860,"TESSy COVID-19"
"Austria","AT","cases","2022-25",60333,"TESSy COVID-19"
"Austria","AT","cases","2022-26",71360,"TESSy COVID-19"
"Austria","AT","cases","2022-27",73826,"TESSy COVID-19"
"Austria","AT","cases","2022-28",83489,"TESSy COVID-19"
"Austria","AT","cases","2022-29",79564,"TESSy COVID-19"
"Austria","AT","cases","2022-30",54649,"TESSy COVID-19"
"Austria","AT","cases","2022-31",42880,"TESSy COVID-19"
"Austria","AT","cases","2022-32",38593,"TESSy COVID-19"
"Austria","AT","cases","2022-33",37623,"TESSy COVID-19"
"Austria","AT","cases","2022-34",33693,"TESSy COVID-19"
"Austria","AT","cases","2022-35",29589,"TESSy COVID-19"
"Austria","AT","cases","2022-36",28929,"TESSy COVID-19"
"Austria","AT","deaths","2020-01",0,"TESSy COVID-19"
"Austria","AT","deaths","2020-02",0,"TESSy COVID-19"
"Austria","AT","deaths","2020-03",0,"TESSy COVID-19"
"Austria","AT","deaths","2020-04",0,"TESSy COVID-19"
"Austria","AT","deaths","2020-05",0,"TESSy COVID-19"
"Austria","AT","deaths","2020-06",0,"TESSy COVID-19"
"Austria","AT","deaths","2020-07",0,"TESSy COVID-19"
"Austria","AT","deaths","2020-08",0,"TESSy COVID-19"
"Austria","AT","deaths","2020-09",0,"TESSy COVID-19"
"Austria","AT","deaths","2020-10",0,"TESSy COVID-19"
"Austria","AT","deaths","2020-11",2,"TESSy COVID-19"
"Austria","AT","deaths","2020-12",31,"TESSy COVID-19"
"Austria","AT","deaths","2020-13",101,"TESSy COVID-19"
"Austria","AT","deaths","2020-14",125,"TESSy COVID-19"
"Austria","AT","deaths","2020-15",150,"TESSy COVID-19"
"Austria","AT","deaths","2020-16",118,"TESSy COVID-19"
"Austria","AT","deaths","2020-17",75,"TESSy COVID-19"
"Austria","AT","deaths","2020-18",42,"TESSy COVID-19"
"Austria","AT","deaths","2020-19",24,"TESSy COVID-19"
"Austria","AT","deaths","2020-20",9,"TESSy COVID-19"
"Austria","AT","deaths","2020-21",14,"TESSy COVID-19"
"Austria","AT","deaths","2020-22",4,"TESSy COVID-19"
"Austria","AT","deaths","2020-23",7,"TESSy COVID-19"
"Austria","AT","deaths","2020-24",8,"TESSy COVID-19"
"Austria","AT","deaths","2020-25",12,"TESSy COVID-19"
"Austria","AT","deaths","2020-26",9,"TESSy COVID-19"
"Austria","AT","deaths","2020-27",2,"TESSy COVID-19"
"Austria","AT","deaths","2020-28",3,"TESSy COVID-19"
"Austria","AT","deaths","2020-29",2,"TESSy COVID-19"
"Austria","AT","deaths","2020-30",4,"TESSy COVID-19"
"Austria","AT","deaths","2020-31",5,"TESSy COVID-19"
"Austria","AT","deaths","2020-32",4,"TESSy COVID-19"
"Austria","AT","deaths","2020-33",6,"TESSy COVID-19"
"Austria","AT","deaths","2020-34",3,"TESSy COVID-19"
"Austria","AT","deaths","2020-35",1,"TESSy COVID-19"
"Austria","AT","deaths","2020-36",4,"TESSy COVID-19"
"Austria","AT","deaths","2020-37",11,"TESSy COVID-19"
"Austria","AT","deaths","2020-38",15,"TESSy COVID-19"
"Austria","AT","deaths","2020-39",25,"TESSy COVID-19"
"Austria","AT","deaths","2020-40",30,"TESSy COVID-19"
"Austria","AT","deaths","2020-41",50,"TESSy COVID-19"
"Austria","AT","deaths","2020-42",57,"TESSy COVID-19"
"Austria","AT","deaths","2020-43",102,"TESSy COVID-19"
"Austria","AT","deaths","2020-44",234,"TESSy COVID-19"
"Austria","AT","deaths","2020-45",365,"TESSy COVID-19"
"Austria","AT","deaths","2020-46",549,"TESSy COVID-19"
"Austria","AT","deaths","2020-47",671,"TESSy COVID-19"
"Austria","AT","deaths","2020-48",729,"TESSy COVID-19"
"Austria","AT","deaths","2020-49",776,"TESSy COVID-19"
"Austria","AT","deaths","2020-50",696,"TESSy COVID-19"
"Austria","AT","deaths","2020-51",587,"TESSy COVID-19"
"Austria","AT","deaths","2020-52",460,"TESSy COVID-19"
"Austria","AT","deaths","2020-53",397,"TESSy COVID-19"
"Austria","AT","deaths","2021-01",347,"TESSy COVID-19"
"Austria","AT","deaths","2021-02",360,"TESSy COVID-19"
"Austria","AT","deaths","2021-03",297,"TESSy COVID-19"
"Austria","AT","deaths","2021-04",292,"TESSy COVID-19"
"Austria","AT","deaths","2021-05",220,"TESSy COVID-19"
"Austria","AT","deaths","2021-06",180,"TESSy COVID-19"
"Austria","AT","deaths","2021-07",151,"TESSy COVID-19"
"Austria","AT","deaths","2021-08",147,"TESSy COVID-19"
"Austria","AT","deaths","2021-09",132,"TESSy COVID-19"
"Austria","AT","deaths","2021-10",159,"TESSy COVID-19"
"Austria","AT","deaths","2021-11",183,"TESSy COVID-19"
"Austria","AT","deaths","2021-12",177,"TESSy COVID-19"
"Austria","AT","deaths","2021-13",215,"TESSy COVID-19"
"Austria","AT","deaths","2021-14",207,"TESSy COVID-19"
"Austria","AT","deaths","2021-15",202,"TESSy COVID-19"
"Austria","AT","deaths","2021-16",161,"TESSy COVID-19"
"Austria","AT","deaths","2021-17",155,"TESSy COVID-19"
"Austria","AT","deaths","2021-18",113,"TESSy COVID-19"
"Austria","AT","deaths","2021-19",78,"TESSy COVID-19"
"Austria","AT","deaths","2021-20",54,"TESSy COVID-19"
"Austria","AT","deaths","2021-21",45,"TESSy COVID-19"
"Austria","AT","deaths","2021-22",33,"TESSy COVID-19"
"Austria","AT","deaths","2021-23",22,"TESSy COVID-19"
"Austria","AT","deaths","2021-24",15,"TESSy COVID-19"
"Austria","AT","deaths","2021-25",12,"TESSy COVID-19"
"Austria","AT","deaths","2021-26",9,"TESSy COVID-19"
"Austria","AT","deaths","2021-27",2,"TESSy COVID-19"
"Austria","AT","deaths","2021-28",4,"TESSy COVID-19"
"Austria","AT","deaths","2021-29",5,"TESSy COVID-19"
"Austria","AT","deaths","2021-30",4,"TESSy COVID-19"
"Austria","AT","deaths","2021-31",9,"TESSy COVID-19"
"Austria","AT","deaths","2021-32",8,"TESSy COVID-19"
"Austria","AT","deaths","2021-33",7,"TESSy COVID-19"
"Austria","AT","deaths","2021-34",27,"TESSy COVID-19"
"Austria","AT","deaths","2021-35",37,"TESSy COVID-19"
"Austria","AT","deaths","2021-36",38,"TESSy COVID-19"
"Austria","AT","deaths","2021-37",64,"TESSy COVID-19"
"Austria","AT","deaths","2021-38",67,"TESSy COVID-19"
"Austria","AT","deaths","2021-39",56,"TESSy COVID-19"
"Austria","AT","deaths","2021-40",61,"TESSy COVID-19"
"Austria","AT","deaths","2021-41",77,"TESSy COVID-19"
"Austria","AT","deaths","2021-42",73,"TESSy COVID-19"
"Austria","AT","deaths","2021-43",91,"TESSy COVID-19"
"Austria","AT","deaths","2021-44",149,"TESSy COVID-19"
"Austria","AT","deaths","2021-45",265,"TESSy COVID-19"
"Austria","AT","deaths","2021-46",306,"TESSy COVID-19"
"Austria","AT","deaths","2021-47",390,"TESSy COVID-19"
"Austria","AT","deaths","2021-48",378,"TESSy COVID-19"
"Austria","AT","deaths","2021-49",303,"TESSy COVID-19"
"Austria","AT","deaths","2021-50",213,"TESSy COVID-19"
"Austria","AT","deaths","2021-51",109,"TESSy COVID-19"
"Austria","AT","deaths","2021-52",98,"TESSy COVID-19"
"Austria","AT","deaths","2022-01",69,"TESSy COVID-19"
"Austria","AT","deaths","2022-02",65,"TESSy COVID-19"
"Austria","AT","deaths","2022-03",72,"TESSy COVID-19"
"Austria","AT","deaths","2022-04",99,"TESSy COVID-19"
"Austria","AT","deaths","2022-05",131,"TESSy COVID-19"
"Austria","AT","deaths","2022-06",172,"TESSy COVID-19"
"Austria","AT","deaths","2022-07",189,"TESSy COVID-19"
"Austria","AT","deaths","2022-08",205,"TESSy COVID-19"
"Austria","AT","deaths","2022-09",208,"TESSy COVID-19"
"Austria","AT","deaths","2022-10",180,"TESSy COVID-19"
"Austria","AT","deaths","2022-11",232,"TESSy COVID-19"
"Austria","AT","deaths","2022-12",406,"TESSy COVID-19"
"Austria","AT","deaths","2022-13",252,"TESSy COVID-19"
"Austria","AT","deaths","2022-14",248,"TESSy COVID-19"
"Austria","AT","deaths","2022-15",136,"TESSy COVID-19"
"Austria","AT","deaths","2022-16",63,"TESSy COVID-19"
"Austria","AT","deaths","2022-17",47,"TESSy COVID-19"
"Austria","AT","deaths","2022-18",57,"TESSy COVID-19"
"Austria","AT","deaths","2022-19",35,"TESSy COVID-19"
"Austria","AT","deaths","2022-20",30,"TESSy COVID-19"
"Austria","AT","deaths","2022-21",18,"TESSy COVID-19"
"Austria","AT","deaths","2022-22",11,"TESSy COVID-19"
"Austria","AT","deaths","2022-23",14,"TESSy COVID-19"
"Austria","AT","deaths","2022-24",15,"TESSy COVID-19"
"Austria","AT","deaths","2022-25",31,"TESSy COVID-19"
"Austria","AT","deaths","2022-26",61,"TESSy COVID-19"
"Austria","AT","deaths","2022-27",92,"TESSy COVID-19"
"Austria","AT","deaths","2022-28",102,"TESSy COVID-19"
"Austria","AT","deaths","2022-29",108,"TESSy COVID-19"
"Austria","AT","deaths","2022-30",69,"TESSy COVID-19"
"Austria","AT","deaths","2022-31",60,"TESSy COVID-19"
"Austria","AT","deaths","2022-32",46,"TESSy COVID-19"
"Austria","AT","deaths","2022-33",41,"TESSy COVID-19"
"Austria","AT","deaths","2022-34",20,"TESSy COVID-19"
"Austria","AT","deaths","2022-35",16,"TESSy COVID-19"
"Austria","AT","deaths","2022-36",8,"TESSy COVID-19"
"Belgium","BE","cases","2020-01",0,"TESSy COVID-19"
"Belgium","BE","cases","2020-02",0,"TESSy COVID-19"
"Belgium","BE","cases","2020-03",0,"TESSy COVID-19"
"Belgium","BE","cases","2020-04",0,"TESSy COVID-19"
"Belgium","BE","cases","2020-05",2,"TESSy COVID-19"
"Belgium","BE","cases","2020-06",1,"TESSy COVID-19"
"Belgium","BE","cases","2020-07",0,"TESSy COVID-19"
"Belgium","BE","cases","2020-08",0,"TESSy COVID-19"
"Belgium","BE","cases","2020-09",0,"TESSy COVID-19"
"Belgium","BE","cases","2020-10",0,"TESSy COVID-19"
"Belgium","BE","cases","2020-11",3678,"TESSy COVID-19"
"Belgium","BE","cases","2020-12",3673,"TESSy COVID-19"
"Belgium","BE","cases","2020-13",8130,"TESSy COVID-19"
"Belgium","BE","cases","2020-14",9694,"TESSy COVID-19"
"Belgium","BE","cases","2020-15",11175,"TESSy COVID-19"
"Belgium","BE","cases","2020-16",7963,"TESSy COVID-19"
"Belgium","BE","cases","2020-17",5703,"TESSy COVID-19"
"Belgium","BE","cases","2020-18",3095,"TESSy COVID-19"
"Belgium","BE","cases","2020-19",3051,"TESSy COVID-19"
"Belgium","BE","cases","2020-20",2071,"TESSy COVID-19"
"Belgium","BE","cases","2020-21",1510,"TESSy COVID-19"
"Belgium","BE","cases","2020-22",1144,"TESSy COVID-19"
"Belgium","BE","cases","2020-23",847,"TESSy COVID-19"
"Belgium","BE","cases","2020-24",671,"TESSy COVID-19"
"Belgium","BE","cases","2020-25",668,"TESSy COVID-19"
"Belgium","BE","cases","2020-26",607,"TESSy COVID-19"
"Belgium","BE","cases","2020-27",637,"TESSy COVID-19"
"Belgium","BE","cases","2020-28",704,"TESSy COVID-19"
"Belgium","BE","cases","2020-29",1385,"TESSy COVID-19"
"Belgium","BE","cases","2020-30",2489,"TESSy COVID-19"
"Belgium","BE","cases","2020-31",3759,"TESSy COVID-19"
"Belgium","BE","cases","2020-32",4340,"TESSy COVID-19"
"Belgium","BE","cases","2020-33",3751,"TESSy COVID-19"
"Belgium","BE","cases","2020-34",3453,"TESSy COVID-19"
"Belgium","BE","cases","2020-35",3121,"TESSy COVID-19"
"Belgium","BE","cases","2020-36",3655,"TESSy COVID-19"
"Belgium","BE","cases","2020-37",6158,"TESSy COVID-19"
"Belgium","BE","cases","2020-38",10108,"TESSy COVID-19"
"Belgium","BE","cases","2020-39",11274,"TESSy COVID-19"
"Belgium","BE","cases","2020-40",18895,"TESSy COVID-19"
"Belgium","BE","cases","2020-41",38852,"TESSy COVID-19"
"Belgium","BE","cases","2020-42",72232,"TESSy COVID-19"
"Belgium","BE","cases","2020-43",105383,"TESSy COVID-19"
"Belgium","BE","cases","2020-44",99584,"TESSy COVID-19"
"Belgium","BE","cases","2020-45",54006,"TESSy COVID-19"
"Belgium","BE","cases","2020-46",33967,"TESSy COVID-19"
"Belgium","BE","cases","2020-47",22312,"TESSy COVID-19"
"Belgium","BE","cases","2020-48",16261,"TESSy COVID-19"
"Belgium","BE","cases","2020-49",15289,"TESSy COVID-19"
"Belgium","BE","cases","2020-50",16840,"TESSy COVID-19"
